Siglas | Nombre del cargo             | Significado                | Función esencial
-------|------------------------------|----------------------------|-----------------------------------------
CEO    | Chief Executive Officer      |  Director Ejecutivo        | Dirección general
       |                              |                            |
COO    | Chief Operating Officer      |  Director de Operaciones   | Gestión de procesos
       |                              |                            |
CMO    | Chief Marketing Officer      |  Director de Marketing     | Gestión de actividades de
       |                              |                            | mercadeo y publicidad
       |                              |                            |
CFO    | Chief Financial Officer      |  Director de Finanzas      | Gestión de los recursos económicos
       |                              |                            |
CIO    | Chief Information Officer    |  Director de Información   | Gestión recursos tecnológicos
       |                              |  Jefe de IT                | orientados a procesos
       |                              |  IT Manager                |
       |                              |                            |
CTO    | Chief Technology Officer     |  Director de Tecnología    | Gestión de recursos tecnológicos
       |                              |  Jefe de Tecnología        | orientados al flujo de datos
       |                              |                            |
CCO    | Chief Communications Officer | Director de Comunicaciones | Gestión de la imagen de la empresa
       |                              |                            | y sus comunicaciones internas y externas
       |                              |                            |
CD0    | Chief Digital Officer        | Director Digital           | Gestión de las comunicaciones digitales
       |                              |                            | (web y redes sociales)
